subject_id	parent_id	subject_kind	requirement_id	level	decision	status	evidence	limitation
ro-root		research-object	S.1	MUST	adopt	unmet	config/components.tsv;docs/evidence-manifest.tsv	Poster, inputs, runtimes, and results are not yet composed under the root
ro-root		research-object	S.2	MUST	adopt	unmet	config/components.tsv#license_status	Project licence policy and several external terms are absent
ro-root		research-object	T.1	MUST	adopt	unmet	config/components.tsv#identity	Planned inputs, runtimes, and results lack persistent content identities
ro-root		research-object	T.2	SHOULD	adopt	unmet	config/components.tsv;docs/source-inventory.tsv	External evidence, inputs, and planned artifacts are not composed in compatible DataLad datasets
ro-root		research-object	T.3	MUST	adopt	unmet	docs/source-inventory.tsv;result-manifest.tsv	Historical result lineage is missing and future operations do not exist
ro-root		research-object	T.4-programmatic	SHOULD	adopt	unmet	result-manifest.tsv#run_record	No scientific run record exists
ro-root		research-object	T.4-versions	MUST	adopt	unmet	config/runtime-candidates.tsv	Several involved runtimes, inputs, and models remain unresolved
ro-root		research-object	A.1	MUST	adopt	unmet	result-manifest.tsv#reproduce_task;docs/result-targets.md	Result entry points are placeholders and specifications remain unresolved
ro-root		research-object	A.2	SHOULD	adopt	unmet	result-manifest.tsv#reproduce_task	No result-changing executable specification exists
ro-root		research-object	M.1	SHOULD	adopt	unmet	config/components.tsv#lifecycle_status	Study, operation, runtime, and result boundaries are not instantiated
ro-root		research-object	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status;LICENSES/ (absent)	Independent licence declarations and compatibility checks are missing
ro-root		research-object	P.1	MUST	adopt	unmet	docs/source-inventory.tsv;config/runtime-candidates.tsv	Historical code uses host state and future scientific operations are unspecified
ro-root		research-object	P.2	MUST	adopt	unmet	envs/pixi.lock;config/runtime-candidates.tsv	Tooling is explicit but scientific runtimes remain unresolved
ro-root		research-object	P.3	MUST	adopt	unmet	envs/pixi.toml;docs/source-inventory.tsv	Historical and future scientific environment identities are absent
ro-root		research-object	E.1	SHOULD	adopt	unmet	result-manifest.tsv	No scientific execution has proved a fresh disposable environment
ro-root		research-object	D.1	MUST	adopt	restricted	docs/evidence-manifest.tsv;config/components.tsv#access_class	Poster retrieval is unresolved, ABCD is controlled, and planned artifacts are unavailable
ro-root		research-object	D.2	SHOULD	adopt	unmet	envs/pixi.lock;config/runtime-candidates.tsv	Tooling lock exists but scientific environment and image builds are unresolved
ro-root		research-object	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Project modules and external candidates lack resolvable licence declarations
ro-root		research-object	M.2	MAY	adopt	met	config/components.tsv#parent_id;config/components.tsv#location	Phase 0 stores small project files directly and permits later DataLad subdatasets when independent composition is useful
dataset-root	ro-root	datalad-dataset	S.1	MUST	adopt	met	.datalad/config	Tracked path is directly reachable from the research-object root
dataset-root	ro-root	datalad-dataset	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
dataset-root	ro-root	datalad-dataset	T.1	MUST	adopt	met	datalad:baa2ec91-e618-4bac-b382-ac0daf9f779a;git:d5be2909a0c7ed0f4232d346e63f20b5ae249880	The containing Git commit or recorded earlier commit and path provide content identity
dataset-root	ro-root	datalad-dataset	T.2	SHOULD	adopt	met	.gitattributes;.datalad/config	Stored directly in the root Git/DataLad dataset
dataset-root	ro-root	datalad-dataset	T.3	MUST	adopt	met	datalad:baa2ec91-e618-4bac-b382-ac0daf9f779a;git:d5be2909a0c7ed0f4232d346e63f20b5ae249880	The containing Git commit or recorded earlier commit records this modification
dataset-root	ro-root	datalad-dataset	M.1	SHOULD	adopt	met	.datalad/config	Independent DataLad dataset identity is established
dataset-root	ro-root	datalad-dataset	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
dataset-root	ro-root	datalad-dataset	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;datalad:baa2ec91-e618-4bac-b382-ac0daf9f779a;git:d5be2909a0c7ed0f4232d346e63f20b5ae249880	The exact containing or earlier commit is published with the public root repository
dataset-root	ro-root	datalad-dataset	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
dataset-root	ro-root	datalad-dataset	T.4-programmatic	SHOULD	decline	not-applicable	.datalad/config	This static component does not perform code-driven modifications or emit provenance records
dataset-root	ro-root	datalad-dataset	T.4-versions	MUST	adopt	not-applicable	.datalad/config	This component is not a code-driven execution whose involved versions must be reported
dataset-root	ro-root	datalad-dataset	A.1	MUST	adopt	not-applicable	.datalad/config	This component is not a procedure for reproducing a computational result
dataset-root	ro-root	datalad-dataset	A.2	SHOULD	decline	not-applicable	.datalad/config	This component is not a procedure requiring an executable specification
dataset-root	ro-root	datalad-dataset	P.1	MUST	adopt	not-applicable	.datalad/config	This static component does not execute against host state
dataset-root	ro-root	datalad-dataset	P.2	MUST	adopt	not-applicable	.datalad/config	This component is not a computational environment or executing procedure
dataset-root	ro-root	datalad-dataset	P.3	MUST	adopt	not-applicable	.datalad/config	This component does not define a computational environment
dataset-root	ro-root	datalad-dataset	E.1	SHOULD	decline	not-applicable	.datalad/config	This component does not produce a computational result
dataset-root	ro-root	datalad-dataset	D.2	SHOULD	decline	not-applicable	.datalad/config	This component is not an environment specification or build
config-annex-policy	ro-root	configuration	S.1	MUST	adopt	met	.gitattributes	Tracked path is directly reachable from the research-object root
config-annex-policy	ro-root	configuration	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
config-annex-policy	ro-root	configuration	T.1	MUST	adopt	met	git:containing-commit:.gitattributes	The containing Git commit or recorded earlier commit and path provide content identity
config-annex-policy	ro-root	configuration	T.2	SHOULD	adopt	met	.gitattributes;.gitattributes	Stored directly in the root Git/DataLad dataset
config-annex-policy	ro-root	configuration	T.3	MUST	adopt	met	git:containing-commit:.gitattributes	The containing Git commit or recorded earlier commit records this modification
config-annex-policy	ro-root	configuration	M.1	SHOULD	adopt	partial	.gitattributes	A stable tracked boundary exists but is stored directly in the root dataset
config-annex-policy	ro-root	configuration	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
config-annex-policy	ro-root	configuration	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:containing-commit:.gitattributes	The exact containing or earlier commit is published with the public root repository
config-annex-policy	ro-root	configuration	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
config-annex-policy	ro-root	configuration	T.4-programmatic	SHOULD	decline	not-applicable	.gitattributes	This static component does not perform code-driven modifications or emit provenance records
config-annex-policy	ro-root	configuration	T.4-versions	MUST	adopt	not-applicable	.gitattributes	This component is not a code-driven execution whose involved versions must be reported
config-annex-policy	ro-root	configuration	A.1	MUST	adopt	not-applicable	.gitattributes	This component is not a procedure for reproducing a computational result
config-annex-policy	ro-root	configuration	A.2	SHOULD	decline	not-applicable	.gitattributes	This component is not a procedure requiring an executable specification
config-annex-policy	ro-root	configuration	P.1	MUST	adopt	not-applicable	.gitattributes	This static component does not execute against host state
config-annex-policy	ro-root	configuration	P.2	MUST	adopt	not-applicable	.gitattributes	This component is not a computational environment or executing procedure
config-annex-policy	ro-root	configuration	P.3	MUST	adopt	not-applicable	.gitattributes	This component does not define a computational environment
config-annex-policy	ro-root	configuration	E.1	SHOULD	decline	not-applicable	.gitattributes	This component does not produce a computational result
config-annex-policy	ro-root	configuration	D.2	SHOULD	decline	not-applicable	.gitattributes	This component is not an environment specification or build
config-root-ignore	ro-root	configuration	S.1	MUST	adopt	met	.gitignore	Tracked path is directly reachable from the research-object root
config-root-ignore	ro-root	configuration	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
config-root-ignore	ro-root	configuration	T.1	MUST	adopt	met	git:containing-commit:.gitignore	The containing Git commit or recorded earlier commit and path provide content identity
config-root-ignore	ro-root	configuration	T.2	SHOULD	adopt	met	.gitattributes;.gitignore	Stored directly in the root Git/DataLad dataset
config-root-ignore	ro-root	configuration	T.3	MUST	adopt	met	git:containing-commit:.gitignore	The containing Git commit or recorded earlier commit records this modification
config-root-ignore	ro-root	configuration	M.1	SHOULD	adopt	partial	.gitignore	A stable tracked boundary exists but is stored directly in the root dataset
config-root-ignore	ro-root	configuration	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
config-root-ignore	ro-root	configuration	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:containing-commit:.gitignore	The exact containing or earlier commit is published with the public root repository
config-root-ignore	ro-root	configuration	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
config-root-ignore	ro-root	configuration	T.4-programmatic	SHOULD	decline	not-applicable	.gitignore	This static component does not perform code-driven modifications or emit provenance records
config-root-ignore	ro-root	configuration	T.4-versions	MUST	adopt	not-applicable	.gitignore	This component is not a code-driven execution whose involved versions must be reported
config-root-ignore	ro-root	configuration	A.1	MUST	adopt	not-applicable	.gitignore	This component is not a procedure for reproducing a computational result
config-root-ignore	ro-root	configuration	A.2	SHOULD	decline	not-applicable	.gitignore	This component is not a procedure requiring an executable specification
config-root-ignore	ro-root	configuration	P.1	MUST	adopt	not-applicable	.gitignore	This static component does not execute against host state
config-root-ignore	ro-root	configuration	P.2	MUST	adopt	not-applicable	.gitignore	This component is not a computational environment or executing procedure
config-root-ignore	ro-root	configuration	P.3	MUST	adopt	not-applicable	.gitignore	This component does not define a computational environment
config-root-ignore	ro-root	configuration	E.1	SHOULD	decline	not-applicable	.gitignore	This component does not produce a computational result
config-root-ignore	ro-root	configuration	D.2	SHOULD	decline	not-applicable	.gitignore	This component is not an environment specification or build
policy-agents	ro-root	agent-policy	S.1	MUST	adopt	met	AGENTS.md	Tracked path is directly reachable from the research-object root
policy-agents	ro-root	agent-policy	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
policy-agents	ro-root	agent-policy	T.1	MUST	adopt	met	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:AGENTS.md	The containing Git commit or recorded earlier commit and path provide content identity
policy-agents	ro-root	agent-policy	T.2	SHOULD	adopt	met	.gitattributes;AGENTS.md	Stored directly in the root Git/DataLad dataset
policy-agents	ro-root	agent-policy	T.3	MUST	adopt	met	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:AGENTS.md	The containing Git commit or recorded earlier commit records this modification
policy-agents	ro-root	agent-policy	M.1	SHOULD	adopt	partial	AGENTS.md	A stable tracked boundary exists but is stored directly in the root dataset
policy-agents	ro-root	agent-policy	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
policy-agents	ro-root	agent-policy	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:dc2b848876de31e42a895de53ef8185bb5bb24a1:AGENTS.md	The exact containing or earlier commit is published with the public root repository
policy-agents	ro-root	agent-policy	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
policy-agents	ro-root	agent-policy	T.4-programmatic	SHOULD	decline	not-applicable	AGENTS.md	This static component does not perform code-driven modifications or emit provenance records
policy-agents	ro-root	agent-policy	T.4-versions	MUST	adopt	not-applicable	AGENTS.md	This component is not a code-driven execution whose involved versions must be reported
policy-agents	ro-root	agent-policy	A.1	MUST	adopt	partial	AGENTS.md	The document is useful context but is not sufficient to reproduce every result
policy-agents	ro-root	agent-policy	A.2	SHOULD	adopt	partial	AGENTS.md	Commands or routing are actionable but scientific execution remains incomplete
policy-agents	ro-root	agent-policy	P.1	MUST	adopt	not-applicable	AGENTS.md	This static component does not execute against host state
policy-agents	ro-root	agent-policy	P.2	MUST	adopt	not-applicable	AGENTS.md	This component is not a computational environment or executing procedure
policy-agents	ro-root	agent-policy	P.3	MUST	adopt	not-applicable	AGENTS.md	This component does not define a computational environment
policy-agents	ro-root	agent-policy	E.1	SHOULD	decline	not-applicable	AGENTS.md	This component does not produce a computational result
policy-agents	ro-root	agent-policy	D.2	SHOULD	decline	not-applicable	AGENTS.md	This component is not an environment specification or build
doc-readme	ro-root	documentation	S.1	MUST	adopt	met	README.md	Tracked path is directly reachable from the research-object root
doc-readme	ro-root	documentation	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
doc-readme	ro-root	documentation	T.1	MUST	adopt	met	git:containing-commit:README.md	The containing Git commit or recorded earlier commit and path provide content identity
doc-readme	ro-root	documentation	T.2	SHOULD	adopt	met	.gitattributes;README.md	Stored directly in the root Git/DataLad dataset
doc-readme	ro-root	documentation	T.3	MUST	adopt	met	git:containing-commit:README.md	The containing Git commit or recorded earlier commit records this modification
doc-readme	ro-root	documentation	M.1	SHOULD	adopt	partial	README.md	A stable tracked boundary exists but is stored directly in the root dataset
doc-readme	ro-root	documentation	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
doc-readme	ro-root	documentation	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:containing-commit:README.md	The exact containing or earlier commit is published with the public root repository
doc-readme	ro-root	documentation	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
doc-readme	ro-root	documentation	T.4-programmatic	SHOULD	decline	not-applicable	README.md	This static component does not perform code-driven modifications or emit provenance records
doc-readme	ro-root	documentation	T.4-versions	MUST	adopt	not-applicable	README.md	This component is not a code-driven execution whose involved versions must be reported
doc-readme	ro-root	documentation	A.1	MUST	adopt	partial	README.md	The document is useful context but is not sufficient to reproduce every result
doc-readme	ro-root	documentation	A.2	SHOULD	adopt	partial	README.md	Commands or routing are actionable but scientific execution remains incomplete
doc-readme	ro-root	documentation	P.1	MUST	adopt	not-applicable	README.md	This static component does not execute against host state
doc-readme	ro-root	documentation	P.2	MUST	adopt	not-applicable	README.md	This component is not a computational environment or executing procedure
doc-readme	ro-root	documentation	P.3	MUST	adopt	not-applicable	README.md	This component does not define a computational environment
doc-readme	ro-root	documentation	E.1	SHOULD	decline	not-applicable	README.md	This component does not produce a computational result
doc-readme	ro-root	documentation	D.2	SHOULD	decline	not-applicable	README.md	This component is not an environment specification or build
doc-conversion-plan	ro-root	plan	S.1	MUST	adopt	met	docs/conversion-plan.md	Tracked path is directly reachable from the research-object root
doc-conversion-plan	ro-root	plan	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
